"Titel","Album titel","Brødtekst","SKU","Pris","Udgivet","Sti"
"Amazing, The","Wait For A Light To Come"," <p>Jag skulle kunna rabbla på om att The Amazing är en svensk supergrupp med medlemmar från Dungen, Anna Järvinen, Träd Gräs och Stenar m.fl.. Jag skulle kunna orera om Christofer Gunrups själfulla röst och Reine Fiskes magiska gitarrspel. Jag skulle kunna linda in deras framträdanden i så vitt skilda kontexter som The Fader TV och TV4 Nyhetsmorgon i små säljande fraser. För att sedan dra krystade paralleller till de senaste årens populärkulturella vurm för afrobeat och djup själfull house, allt på grund av ett par helt magiska congas. Kanske skulle jag avsluta det hela med en krystad analys värdig en gymnasist som blivit kär i popmusiken för första gången. En analys fylld av mer eller mindre horribla misstolkningar av The Amazings texter. Allt med syftet att få er att lyssna på deras nya minialbum. Men jag väljer att inte göra det. För er precis som för The Amazing handlar det om bra musik och den kärlek vi hyser till vad den gör med oss. Musik skapad av glädje och lust, som finns där för att du tycker att musik är det bästa som finns. Toner frammejslade av personer som pusslat om sitt vardagsliv för att kunna göra det som får dem att orka fortsätta andas i vår cyniska samtid. Människor som spelar och lyssnar på musik för att deras liv hänger på det. Folk som ägnar mer tid än vad som förmodligen anses som hälsosamt av den stora massan framför gamla musikklipp på Youtube. Om du känner så, om musiken har tagit en oproportionerligt stor del av ditt liv, då tycker jag att du ska nyttja informationen nedan, lyssna, beröras och bilda dig en egen uppfattning. Om inte, så kan du lugnt fortsätta twittra, lyssna på Spotify eller göra det som du gjorde innan vi tog din tid i anspråk. The Amazing består av Christoffer Gunrup (ex-Granada), Reine Fiske (Dungen/Anna Järvinen/Träd Gräs och Stenar), Johan Holmegard (Dungen/Life on Earth!/The Works) och Fredrik Swahn (Anna Järvinen/Dreamboy).</p>
 ","SUB069LP","9500","1","http://rillbar.dk/sites/default/files/amazingwait.jpg"
"Amazing, The","Wait For A Light To Come","","FP0048","6000","1",""
"Amazing, The","Deportation Day","","FP0038","1000","1",""
"Amazing, The","Dragon","","FP00xx01","1000","1",""
"Amazing, The","The Amazing","","FP0035","6000","1",""
"Amdi Petersens Armé","S/T","","HS17-LP","8125","1",""
"American Football","American Football","","PRC-025LP","7000","1","http://rillbar.dk/sites/default/files/AmericanFootball.jpg"
"Anchorless","Anchorless"," <p>Det københavnske band, Anchorless, er nyt, men medlemmerne er så absolut ikke ukendte på den alternative danske musikscene. Anchorless tæller medlemmer fra The Fashion, Lack, The River Phoenix, Rising, Gravy, Trust og Little Jimmy Reeves. Sekstetens  musikalske retning er simple guitarbårne sangstrukturer med erklæret fokus på umiddelbarhed og stærke, men særegne melodier. Stilmæssigt bliver der lånt fra rock, pop og indie og sågar en lille snert af punk. Bandets selvbetitlede debut-EP udkommer den 30 maj på 12” vinyl og derudover vil Ep’en blive tilbudt som gratis download fra bandets MySpace side og fra <a href=""http://www.PonyRec.com"">www.PonyRec.com</a>. Anchorless er: Jacob Ankjær Johansen (Lack, The Fashion) Jakob Reichert Nielsen (Lack) Nikolaj Wichmann (The River Phoenix) Henrik W. Hald (Trust, Rising) Daniel Kruse (Gravy) Jan “Damage” Petersen (Gravy, Little Jimmy Reeves)</p>
 ","PONY30LP","4000","1","http://rillbar.dk/sites/default/files/anchorless_anchorless_300w_web_jpg_300x306_crop_upscale_q95.jpg"
"Anchorless","Every Nook and Cranny"," <p>Anchorless er for Play/Rec et nyt bekendtskab og samtidig et solidt nik tilbage til fortiden, når flere medlemmer tidligere har stået bag nogle af de mest betydningsfulde udgivelser på Play/Rec. Bandets medlemmer har dog ikke kun slået deres folder i Play/Rec regi, og samlet set består Anchorless af rutinerede kræfter fra en række mere eller mindre fremtrædende bands på den alternative musikscene, både i Danmark og internationalt (Lack, Trust, Rising, The Fashion, The River Phoenix m.fl.).</p>
<p>Også musikalsk formår Anchorless med deres debutalbum at blande nyt og gammelt via en nutidig, frisk og energifyldt sammensmeltning af udtryk fra nogle af de sidste mange års mest markante alternative popbands. Anchorless er således først og fremmest et band, der spiller nogle virkelig iørefaldende sange i stil med eksempelvis The Shins, R.E.M. og The Smiths. Anchorless udgav sidste år den selvbetitlede Anchorless EP på henholdsvis vinyl og som gratis download. Pladen er downloadet flittigt og bandet har allerede i deres relativt korte levetid spillet koncerter i det meste af Europa og Danmark og dette sammen med en række bemærkelsesværdige bands (The War On Drugs (US), The Black Heart Procession (US), The Smith Westerns (US) og Kashmir (DK)).</p>
<p>I sommeren 2011 begyndte Anchorless arbejdet på deres debutalbum. Et arbejde som de selv tog fuld kontrol over. Jakob Reichert Nielsen fra Anchorless har gennem de sidste år opnået stor anerkendelse for hans arbejde med produktionen af plader med bl.a. Rising, Lack, Trust og Obstacles og derfor var det helt naturligt, at det var ham, der skulle stå for optagelser og mix af pladen. Her, et halvt år senere, er de nu klar med deres første fuldlængde. Pladen udgives d. 6 februar, 2012 med titlen ""Every Nook and Cranny"".</p>
<p>Ni numre indspillet med energi og passion og en plade, der ikke er bange for at sværge til den gode pop-sang. Albummet har i sidste ende været forbi Brian Mørk Hansens kyndige ører og han har med en nænsom mastering fået det sidste presset ud af pladens riller. Artwork er på smukkeste vis udført af Nicolaj Bejder fra Bemerk (Kashmir, Kitty Wu etc.) ANCHORLESS: Henrik W. Hald (Sang) Jan Petersen (Kor & keys) Jacob Ankær Johansen (Guitar) Jakob Reichert Nielsen (Guitar) Nikolaj Wichmann (Bas) Daniel Kruse (Trommer)</p>
 ","PlayRec 41","7500","1","http://rillbar.dk/sites/default/files/images/anchorless_playrec41_hires.jpg"
"Anders","In The Dark Hours ","","Kommun2-13","9000","1","http://rillbar.dk/sites/default/files/anders.jpg"
"Anders Thrane","Lysets hær og de ulykkelige skabningers skæbne"," <p>Anders Thrane er en vise-sanger og fortæller hos hvem melodi, arrangement og stemning er i højsædet. Samtidig har den unge troubadour en stemme der kan bære hele herligheden højt op over loftet. I oktober 2009 udgav Anders Thrane debutalbummet Ildsjael, som høstede meget opmærksomhed fra de danske anmeldere og fik en del airplay. Med ‘Lysets hær og de ulykkelige skabningers skæbne’ har han taget et skridt væk fra den mere traditionelle singer/songwriter genre, og har skrevet et fiktionsbåret album der på flere måder drager tankerne hen mod troubadourer som Sebastian og Røde Mor.</p>
<p>Teksterne og instrumenteringen er, til trods for albummets low-fi lyd, mere teatralsk og dramatisk fremført. Korarrangementerne og strygerne skaber et mørkt, dragende og eventyrligt univers. Til 4 ud af albummets 10 sange har filmkomponisten Rasmus Hansen skrevet strygerarrangementer, der også har haft en finger med i spillet i arrangementerne Stieg Larsons ’Millenium Trilogi” og storfilmen ’Dirch’. </p>
 ","AnthLP0112","7500","0","http://rillbar.dk/sites/default/files/images/AT_LH.jpg"
"Anders Thrane","Lysets hær og de ulykkelige skabningers skæbne"," <p>Anders Thrane er en vise-sanger og fortæller hos hvem melodi, arrangement og stemning er i højsædet. Samtidig har den unge troubadour en stemme der kan bære hele herligheden højt op over loftet. I oktober 2009 udgav Anders Thrane debutalbummet Ildsjael, som høstede meget opmærksomhed fra de danske anmeldere og fik en del airplay. Med ‘Lysets hær og de ulykkelige skabningers skæbne’ har han taget et skridt væk fra den mere traditionelle singer/songwriter genre, og har skrevet et fiktionsbåret album der på flere måder drager tankerne hen mod troubadourer som Sebastian og Røde Mor.</p>
<p>Teksterne og instrumenteringen er, til trods for albummets low-fi lyd, mere teatralsk og dramatisk fremført. Korarrangementerne og strygerne skaber et mørkt, dragende og eventyrligt univers. Til 4 ud af albummets 10 sange har filmkomponisten Rasmus Hansen skrevet strygerarrangementer, der også har haft en finger med i spillet i arrangementerne Stieg Larsons ’Millenium Trilogi” og storfilmen ’Dirch’. </p>
 ","AnthCD0112","5300","0","http://rillbar.dk/sites/default/files/images/AT_LH.jpg"
"Anders Thrane","Ildsjael"," <p>Debutalbum fra troubadouren Anders Thrane, der både kastede roser og airplay af sig. Indeholder sangene: En verdenskrig Elefanter i storbyjunglen De nye sko Et monster Alkoholikaos (Note til mig selv) Kaotikum Hjerteblod Blaat lys Ildsjael Baggårdskat 21 minutters solopgang</p>
 ","AnthCD0109","6300","0","http://rillbar.dk/sites/default/files/images/at_ildsjael.jpg"
"Anderskov Accident","Unity of Action"," <p>Unity Of Action er en forening af modsætninger - det grumme kæmper og forenes med det smukke. Der fortælles historier med sjæl, hjerteblod og rå energi, mani og melankoli. Der er mystiske, skæve grooves spillet med et unikt personligt approach, og ekspressive blæsere, som i en række Anderskov-kompositioner forener det melodiske med det uventede. Musikken er nytænkende og varmblodet, sprudlende, intuitiv og dog struktureret. Visionære kompositioner blandes med musikalsk overskud som giver musikken ro og en sand spontanitet. Resultatet er upoleret, ærligt, og en emotionelt kraftfuld oplevelse. Den dobbelte Danish Music Award Jazz-modtager Jacob Anderskov modtog i maj 2004 Statens Kunstfond's 3-årige arbejdslegat. Som begrundelse for tildelingen sagde de blandt andet: ""Komponisten, pianisten og kapelmesteren Jacob Anderskov er i sandhed en komet på himlen af unge musikmagere. Anderskovs musikalske univers er stort og særegent på samme tid - vildskab, skønhed og ""scraggly-hed"" vandrer til hobe. Jacob Anderskov mestrer at blande den inderlige følsomhed og det videnskabelige overblik - som på samme tid kontrasterer og smelter sammen til en organisk helhed. Gennem en rigdom af udtryk jonglerer han med form og indhold og skaber en sjælden sublim helhed. Med store ører og totalt styr på de musikalske virkemidler - teknikker - skaber Jacob Anderskov en frisk og stærkt original musik"" (Tonekunstudvalget for den rytmiske musik). Unity Of Action er måske den mest grandiøse, den mest poetiske, den skæveste og den smukkeste fra Anderskov’s hånd indtil nu. Der er mere på spil end man lige opdager ved de første gennem-lytninger. Musikken, tematikken og de underliggende strukturer har en mangetydighed, som kun vanskeligt lader sig gengive i en beskrivende form. [Om titlen: ” unity of action” betyder ”handlingens enhed”, et udtryk fra den græske tragedie, som betyder at alle teaterstykkets begivenheder bidrager til plottets fremad-skriden, uden noget overflødigt. Ses oftest i sammenhængen “Unity of time, place and action” (tidens, stedets og handlingens enhed).]</p>
 ","ILK106LP","7500","1","http://rillbar.dk/sites/default/files/anderskovaccident_unityofaction_300w_web_jpg_300x306_crop_upscale_q95.jpg"
"Anderskov Accident"," Full Circle"," <p>Anderskov Accident har i over 12 år fungeret som omdrejningspunkt for noget af det mest grandiose, skæve og overrumplende musik fra Jacob Anderskov, der herhjemme ofte er blevet kaldt ""een af sin generations mest progressive musikere"". Pianist og komponist Jacob Anderskov har udgivet femten albums som orkesterleder. Han har været nævnt på adskillge internationale ""årets bedste udgivelse""-lister med hver ny plade de seneste år. Forvent Anderskov Accident i topform - visionært, spirituelt, og fortryllet af en række fantastiske musikere. Skrevet om pladen: ”Danmarks sejeste freeform-psychelidelica-groove-jazz orkester. Der spares ikke på ud-af-kroppen lydene. Det føles som om jeg surfer på en lydbølge i et parallel univers, når jeg lytter på Anderskov Accident.() Vil man som lytter brugen tiden på musikken, belønnes man med et berigende og givende album.” Jazznyt, Danmark November 2011 ”Jacob Anderskov har vel aldrig været i nærheden af at være dét, man kan kalde en almindelig mainstream musiker. Det på trods - eller måske netop derfor - har han skabt sig en karriere, der udover anerkendelse og rig turnévirksomhed herhjemme har budt på en musisk færd, der også har sat sine spor i udlandet. ()Meget kan man sige om Anderskovs og orkestrets tilgang til det at skabe musik, men undertegnede forundres og begejstres til stadighed over hvor naturligt og alligevel kompromisløst de to store søjler komposition og improvisation mødes, flyder sammen, skærer mod hinanden, koeksisterer og nærer hinanden.” <a href=""http://www.jazzstjerner.dk"">www.jazzstjerner.dk</a> **** (4/5) Skrevet om Anderskov Accident: ""For those who still didn't know, there is by now no way around realizing that Jacob Anderskov belongs to the most extraordinary artists of contemporary music... A high point in improvised Music..."" Jazz Podium, Tyskland. Maj 2010. “Jacob Anderskov från Köpenhamn er ett av Skandinaviens hetaste jazznamn just nu.” Lira, Sverige, februar/marts 2010 Medvirkende: Kasper Tranberg: Trompet Laura Toxværd: Sax Mads Hyhne: Trombone Jacob Anderskov: Wurlitzer Nils Davidsen: Bas Tom Rainey: Trommer</p>
 ","ILK178LP","7500","1",""
"Andreas Führer","Obligatorisk undervisning"," <p>På den ene side er Andreas Führers Obligatorisk Undervisning, tolv numre fra en periode på 6 år - (be)lejlighedsvis indrammet under en form for usagt Best Of-isme, der foregiver at trække på et ikke eksisterende bagkatalog. På den anden side er den selvfede rock-dude på coveret et bevidst indsat omdrejningspunkt for en art musikantropologisk selvundersøgelse i tolv akter. Den klassiske een til een konstellation: personligt stof kontra komposition, udgør max to numre. Herudover inddrager kompositionerne oftest en tredje komponent:</p>
<p>Et nummer er en fortolkning af et digt af nordmanden Tor Ulven (Obligatorisk Undervisning), et andet omskriver et Robert Wyatt nummer (Little Red Robin Hood pt. II), mens et tredje reapproprierer Faust i forhold til en personlig fortælling (Deal with the Devil). Det er selvfølgelig nogle temmelig tunge drenge at danse med, men det er også et forsøg på at bryde ud af den idiosynkratiske puppe, ved at relativisere sig selv i forhold til en historie af metode og genre. Via denne eklektiske tilgang fornemmer man hurtigt at Andreas’ gennemgående interesse konkret ligger i en undersøgelse af kompositionens bevægelse mellem genrerne. Det kunne nemt føre til en form for postmodernistisk kitsch på autopilot i eksekveringen af numrene, men netop denne sensibilitet over for det kompositoriske hierarki – hvornår er musikken det primære – hvornår tjener det en mere illustrativ fortolkende rolle over for inkorporeret ”fremmed” materiale? - resulterer i stedet i en knusende ro, og et stilistisk overblik i kompositionernes søsættelse i de forskellige genrer.</p>
 ","AF01","8400","1","http://rillbar.dk/sites/default/files/andreasfuhrer.jpg"
"Anla Courtis","Psi Gtr Avalanche"," <p>ANLA COURTIS (ARG) kendt fra den eksperimenterende gruppe REYNOLS. På denne single viser han en mere aggressiv og pågående stil i forhold til hans øvrige produktion. Analog lag på lag guitarstøj. Lækkert silketrykt omslag med artwork af Zven Balslev. Gul vinyl</p>
 ","SMK R 003","3700","1","http://rillbar.dk/sites/default/files/anlacourtisthumb_jpg_300x306_crop_upscale_q95.jpg"
"Annamy","Woodpecker"," <p>Vinyl LP limited edition of 500 copies. Spellbinding debut album of Swedish femme psych-folk-rock delight.</p>
<p>Top notch song writing and stellar musicianship in a style reminiscent of the masters of the early 1970s; (like Fairport Convention, Pentangle, Mellow Candle, Trees, Comus, Vasthi Bunyan, CSN, Linda Perhacs and others). But yet AnnaMy performs in an unmistakable style all of her own that is both fully rooted in the now and timeless, and ultimately leaves any comparison futile.</p>
<p>Full electric band setting with guitars, bass, organ, flute, cello, drums and percussion with Annas crystalline and heartfelt voice soaring on top. Electric guitar duties handled by the grand wizard of the craft; Reine Fiske. The AnnaMy band also consist of musicians from The Amazing, Dungen, Life on Earth!, Lisa o Piu, Anna Järvinen and many more.</p>
<p>The band went in to the legendary Silence studios situated in the mysterious, deep and wintry forests of Koppom, Värmland . During the next couple of days recording the full album was committed to tape. I’d never been as extraordinarily productive, says Anna. Today I am no longer in the protected environment of the Värmland woods but in the hustle and bustle of my hometown Stockholm inner city, which can sometimes drive me crazy.</p>
<p>Every song on her debut album ‘Woodpecker’ came to Anna when she listened to her deepest feelings and each song has its own story. What kind of feelings they might be are up to listeners to feel for themselves.</p>
 ","SUB-094-LP","10000","1","http://rillbar.dk/sites/default/files/annamy.jpg"
"Antennas","Neanderthal","","Nov0034","7500","1",""
"Anti Ritual","S/T"," <p>Tredje udgivelse på INDISCIPLINARIAN er den selvbetitlede debut-ep fra ANTI RITUAL. ANTI RITUAL er et nyt band bestående af erfarne kræfter fra den københavnske hardcore- og metalscene. De 6 numre og 16 minutters musik på ep'en kan beskrives som en bastard af hardcore, sludge og black metal. ""Anti Ritual"" bliver udgivet worldwide som 12"" vinyl og digitalt 28. april 2014.</p>
 ","Indisc03","5000","1","http://rillbar.dk/sites/default/files/images/ANTI%20RITUAL_cover.jpg"
"Antibalas","Antibalas (LP + MP3)","","DAP028-LP","8500","0","http://rillbar.dk/sites/default/files/antibalas-album-cover4-1024x1024.jpg"
"Antifilm","IO"," <p>On one of the busiest streets in Copenhagen, there is a shop. Through the open door, one can see a couple of old men sitting at a table, smoking cigarettes, and listening to old records. They mostly sell old bicycles they fix and tidy up, but they will also repair your old watch (if it's mechanical). On the wall, they've got paper clippings about frauds revealed and exposed, pale lithographs, strange astrology diagrams, and an assortment of calendars. When there's not enough light from the window, the room is lit by a single lamp on the table. It is darkened by cigarettes and dust. Through a small hole in the wall, one can see the workshop out back. Antifilm is the alias of Thomas Bred, a 35 year old Danish musician living in Copenhagen. For a while, he used to play a piano his neighbour allowed him to use provided he stored it in his apartment. Nowadays, his studio is full of guitars and pedals, and his songs have a different texture, but one can still hear that piano on some of the tracks. Thomas has been making music for over a decade. Some of his tracks were burned onto homemade cd-rs for sale at the local record shop or passed on to friends, wrapped in handcrafted paper sleeves. One of these tracks found its way to Danish public radio and ended up on their indie chart, ""Det elektriske barometer"", where it stayed for eight weeks. Now, Statler & Waldorf are proud to present Antifilm to an international audience by releasing his debut album ""IO"", which includes the summer hit ""Here Comes The Son"". *Artist Biography* Released two albums ""IO"" and ""Under"" on CDr with handmade cover art in 2005 and 1999 respectively. ""Here Comes the Son"" was in top 10 on the Danish indie chart, for the maximum allowed 8 weeks, in 2008. Reviews: 6/6 - Undertoner, Denmark *Track listing:* 01 What's With All The Stars 02 Drainage 03 Heavy Petting 04 Mado 05 Faster 06 Rondo 07 Ovenfra 08 Fumarie 09 I0 10 When The World Is A Better Place 11 Here Comes The Son</p>
 ","S&W14LP","6200","1","http://rillbar.dk/sites/default/files/antifilm_io_300w_web__jpg_300x306_crop_upscale_q95.jpg"
"Antifilm","IO"," <p>On one of the busiest streets in Copenhagen, there is a shop. Through the open door, one can see a couple of old men sitting at a table, smoking cigarettes, and listening to old records. They mostly sell old bicycles they fix and tidy up, but they will also repair your old watch (if it's mechanical). On the wall, they've got paper clippings about frauds revealed and exposed, pale lithographs, strange astrology diagrams, and an assortment of calendars. When there's not enough light from the window, the room is lit by a single lamp on the table. It is darkened by cigarettes and dust. Through a small hole in the wall, one can see the workshop out back. Antifilm is the alias of Thomas Bred, a 35 year old Danish musician living in Copenhagen. For a while, he used to play a piano his neighbour allowed him to use provided he stored it in his apartment. Nowadays, his studio is full of guitars and pedals, and his songs have a different texture, but one can still hear that piano on some of the tracks. Thomas has been making music for over a decade. Some of his tracks were burned onto homemade cd-rs for sale at the local record shop or passed on to friends, wrapped in handcrafted paper sleeves. One of these tracks found its way to Danish public radio and ended up on their indie chart, ""Det elektriske barometer"", where it stayed for eight weeks. Now, Statler & Waldorf are proud to present Antifilm to an international audience by releasing his debut album ""IO"", which includes the summer hit ""Here Comes The Son"".</p>
 ","S&W14CD","7500","1","http://rillbar.dk/sites/default/files/antifilm_io_300w_web__jpg_300x306_crop_upscale_q95_1.jpg"
"Aron","Djævlens Horn"," <p>Psykedelisk gyserfolk med danske tekster om ensomhed, underkastelse og døden. ""Djævlebarn"" handler om en kvinde der giver sit barn væk for at slippe for sit eget uundgålige endeligt. ""Edderkoppering"" er en 60'er inspireret folkrocker fuld af dystre lydeffekter, fuzzguitarer og en svævende atmosfærisk slutning der kalder flokken tilbage. ""Ud på landet"" En melankolsk melodi der spænder fra eksperimenterende forstyrrelser over country til tranceagtigte lyde i et klaustrofobisk rum fuld af stemmer. ""Er det her"" og ""Djævlens Horn"" er bluesinspireret downerfolk der sammen med de 2 instrumentalnumre ""Nattens stjerner"", ""Drømmedagsprofet"" og åbningen ""Den sorte ged"" lægger bunden i en afvigende, ukommerciel og helt igennem hjemmelavet elektroakustisk messe. DJÆVLENS HORN er det tredie udspil fra Aron. Musikken er stadig fuld af underlige dystre sange, hallucinerende lydlandskaber og en udpræget manglen på stræben efter professionalitet frem for ægthed.</p>
 ","ORPH014","7500","1","http://rillbar.dk/sites/default/files/AronDjavelens.jpg"
"Aron","Testament From The Human Plantation"," <p>4. LP fra det danske psykedeliske etmandsband Aron er som sædvanlig et studie i hjemmelavet musik, gennemsyret af sær sangskrivning og ditto udførelse Fuzzguitar og buldertrommer går hånd i hånd i et univers af avantgardistiske rytmer og spastisk klimpren. Kærlighed, Monster, UFO, Dæmon, Hallucination, Udskud, Død, Rumvæsen, Hippie, Ud-af-kroppen oplevelse, Endeligt, Farvel, Dystre tanker, Mørk skov, Had. De fleste sange er first-takes og skrevet under indspilningen, hvilket gør denne plade til en meget improviseret og ærlig optagelse. Indspillet juli 2009 - december 2009 i HP-studiet.</p>
 ","ORPH017","7500","1","http://rillbar.dk/sites/default/files/aron_testament_300w_web_jpg_300x306_crop_upscale_q95.jpg"
"Artificial Limbs, The","The Artificial Limbs"," <p>The Artificial Limps is fresh new electric blood from the city of Aarhus in Denmark. Vocalist Anna Valgreen is like a jet engine. Like a Karen O. or a P.J Harvey set on fire she´s about to explode. The guitar is sometimes noisy, and sometimes a bit glam, and sometimes it´s not there at all leaving the space for a massive wall of grating synth. It goes deep and it goes melodic, but always right in your face, like a sledge-hammer of young spirit and trash decadence. Seva´s ghostly backing vocals is making you loose you´re last bit of sanity. You will leave yourselves to the limbs. The first track is a disco/electro affair.</p>
<p>Fresh and clear, like a Depeche Mode or a Human League hit-song, with a synth-theme even Depeche Mode would envy. You just can´t let it go. It´s dirty like Christina Aguilera at a pig-farm. Later on the EP things get more rocking. The synth-riff starting side B makes you think of when The Cure knew how to make pop-tunes and a rocking spirit melt together in an enormous self-destructive orgasm. The last track is a super-groovy remix of the first track. It´s done by leading Danish remixer: Super-Troels. Yet another reason to go for it and listen to it at a loud volume. To make it even more adorable and fresh, it´s all delivered as a nice transparent yellow 10” vinyl record. </p>
 ","NOV0003","2500","1","http://rillbar.dk/sites/default/files/theartificiallimbs_st_300w_web_jpg_300x306_crop_upscale_q95.jpg"
"Astro Black","Is Love the Blood of the Universe?"," <p>Astro Black er et finmasket møde mellem stort skalerede akustiske instrumenter og elektronisk dekonstruktion, I denne reduktion af 'big band' findes en skjult juvel med mange facetter og oplevelser – måske en melodramatisk kærlighedssang, en meditation, eller en omfavnende kommentar til kitsch.</p>
<p>Astro Black opstod i 2004 som et akustisk ensemble bestående af en dobbelt kvartet med akustiske instrumenter, spillende mønstre og linier i 'stereo'. Sporadiske optrædender ved specielle events i Danmark førte til en videreudvikling af konceptet, og gennem årene er orkestret vokset til 22 medlemmer inklusiv live elektronisk lydmanipulation. I 2008 blev bandet reduceret til et minimun af medlemmer, med et primært fokus på mulighederne i elektronisk bearbejdning, og som et live band findes Astro Black nu i mange forskellige former og størrelser.</p>
<p>Udgivelsen kommer som en limited edition 7"" orange vinyl single i 300 nummererede eksemplarer inklusiv gratis mp3-download. </p>
 ","TONOM081","3100","1","http://rillbar.dk/sites/default/files/astro_islovetheblood_300w_web_jpg_300x306_crop_upscale_q95.jpg"
